iter	Passed	Remaining
202	1441	2108
203	1448	2101
204	1455	2094
205	1462	2086
206	1469	2079
207	1476	2072
208	1483	2065
209	1490	2058
210	1497	2050
211	1504	2043
212	1511	2036
213	1518	2029
214	1525	2021
215	1532	2014
216	1539	2007
217	1546	2000
218	1553	1993
219	1560	1986
220	1567	1978
221	1574	1971
222	1580	1963
223	1588	1956
224	1594	1949
225	1601	1942
226	1608	1934
227	1615	1927
228	1622	1919
229	1629	1912
230	1635	1904
231	1642	1897
232	1649	1890
233	1656	1883
234	1664	1876
235	1670	1869
236	1678	1862
237	1684	1854
238	1691	1847
239	1698	1839
240	1705	1833
241	1712	1825
242	1718	1817
243	1725	1810
244	1732	1802
245	1739	1796
246	1746	1788
247	1753	1781
248	1760	1774
249	1767	1767
250	1774	1760
251	1782	1753
252	1789	1746
253	1796	1739
254	1802	1732
255	1809	1724
256	1817	1718
257	1823	1710
258	1829	1702
259	1837	1695
260	1844	1688
261	1850	1681
262	1858	1674
263	1865	1667
264	1872	1660
265	1878	1652
266	1885	1645
267	1892	1638
268	1899	1631
269	1907	1624
270	1914	1617
271	1921	1610
272	1927	1602
273	1934	1596
274	1941	1588
275	1948	1581
276	1955	1574
277	1962	1567
278	1970	1560
279	1976	1553
280	1984	1546
281	1990	1538
282	1997	1531
283	2004	1524
284	2011	1517
285	2018	1510
286	2024	1502
287	2031	1495
288	2038	1488
289	2044	1480
290	2051	1473
291	2058	1466
292	2066	1459
293	2072	1452
294	2080	1445
295	2087	1438
296	2093	1431
297	2100	1424
298	2107	1416
299	2114	1409
300	2121	1402
301	2128	1395
302	2135	1388
303	2141	1380
304	2149	1374
305	2156	1366
306	2163	1359
307	2169	1352
308	2177	1345
309	2184	1338
310	2191	1332
311	2198	1324
312	2205	1317
313	2211	1310
314	2218	1303
315	2226	1296
316	2232	1288
317	2239	1281
318	2245	1274
319	2252	1267
320	2260	1260
321	2267	1253
322	2274	1246
323	2281	1239
324	2289	1232
325	2296	1225
326	2303	1218
327	2310	1211
328	2316	1204
329	2324	1197
330	2331	1190
331	2338	1183
332	2345	1176
333	2352	1168
334	2359	1161
335	2366	1154
336	2373	1147
337	2380	1140
338	2386	1133
339	2393	1126
340	2400	1119
341	2407	1112
342	2414	1105
343	2421	1097
344	2427	1090
345	2434	1083
346	2441	1076
347	2447	1069
348	2454	1061
349	2461	1055
350	2468	1047
351	2475	1040
352	2482	1033
353	2489	1026
354	2496	1019
355	2503	1012
356	2509	1005
357	2516	998
358	2523	991
359	2529	983
360	2536	976
361	2542	969
362	2549	962
363	2556	955
364	2562	947
365	2570	940
366	2576	933
367	2583	926
368	2590	919
369	2597	912
370	2604	905
371	2611	898
372	2618	891
373	2624	884
374	2631	877
375	2638	870
376	2644	862
377	2651	855
378	2657	848
379	2664	841
380	2671	834
381	2678	827
382	2685	820
383	2691	813
384	2698	805
385	2705	798
386	2711	791
387	2717	784
388	2724	777
389	2731	770
390	2737	763
391	2744	756
392	2750	748
393	2757	741
394	2764	734
395	2770	727
396	2777	720
397	2785	713
398	2791	706
399	2798	699
400	2804	692
401	2810	685
402	2817	678
403	2824	671
404	2831	664
405	2837	657
406	2844	649
407	2851	642
408	2857	635
409	2864	628
410	2871	621
411	2877	614
412	2884	607
413	2890	600
414	2897	593
415	2904	586
416	2911	579
417	2917	572
418	2923	565
419	2930	558
420	2937	551
421	2943	544
422	2950	537
423	2957	530
424	2964	523
425	2970	516
426	2977	509
427	2984	502
428	2991	495
429	2998	488
430	3004	480
431	3011	474
432	3018	467
433	3025	460
434	3031	453
435	3038	446
436	3044	438
437	3051	431
438	3058	424
439	3065	417
440	3072	410
441	3078	404
442	3085	397
443	3092	390
444	3099	383
445	3105	376
446	3113	369
447	3119	362
448	3125	355
449	3132	348
450	3138	341
451	3146	334
452	3152	327
453	3159	320
454	3165	313
455	3172	306
456	3178	299
457	3185	292
458	3192	285
459	3199	278
460	3206	271
461	3213	264
462	3219	257
463	3226	250
464	3233	243
465	3240	236
466	3247	229
467	3253	222
468	3260	215
469	3267	208
470	3274	201
471	3280	194
472	3287	187
473	3293	180
474	3300	173
475	3307	166
476	3314	159
477	3320	152
478	3327	145
479	3334	138
480	3340	131
481	3347	125
482	3354	118
483	3360	111
484	3366	104
485	3373	97
486	3380	90
487	3387	83
488	3394	76
489	3400	69
490	3407	62
491	3413	55
492	3420	48
493	3427	41
494	3433	34
495	3440	27
496	3447	20
497	3453	13
498	3461	6
499	3468	0
