iter	RMSE
148	295800.4083
149	295683.3654
150	295538.9775
151	295410.0002
152	295316.8246
153	295203.8896
154	295068.3319
155	294951.5695
156	294846.2866
157	294742.337
158	294644.8452
159	294498.5639
160	294380.5554
161	294282.4428
162	294170.9656
163	294061.9133
164	293959.4159
165	293839.9662
166	293746.6407
167	293613.9437
168	293523.7515
169	293412.7087
170	293326.8794
171	293236.1585
172	293112.1146
173	293020.0418
174	292937.4028
175	292836.9155
176	292739.3927
177	292659.4067
178	292545.7954
179	292483.4793
180	292394.9243
181	292301.1178
182	292224.628
183	292142.9582
184	292045.4437
185	291946.7626
186	291857.8963
187	291766.9022
188	291657.4887
189	291580.3871
190	291502.0225
191	291392.0412
192	291290.4053
193	291210.9637
194	291136.6428
195	291031.7255
196	290951.971
197	290864.339
198	290805.5497
199	290757.4963
200	290660.9676
201	290615.9202
202	290524.4104
203	290451.0238
204	290360.3658
205	290313.5024
206	290253.6929
207	290158.8813
208	290084.3383
209	290008.6558
210	289923.3013
211	289860.2305
212	289787.3947
213	289710.9585
214	289643.1594
215	289595.8163
216	289510.6706
217	289436.6
218	289369.2632
219	289307.4669
220	289249.2077
221	289205.2077
222	289122.3226
223	289044.044
224	288975.9585
225	288926.3452
226	288842.4176
227	288776.8473
228	288703.7519
229	288627.7568
230	288559.234
231	288481.9168
232	288391.0696
233	288333.1397
234	288279.1029
235	288196.1758
236	288142.8286
237	288067.7833
238	287998.9414
239	287955.3048
240	287886.1257
241	287815.1876
242	287757.8762
243	287668.4702
244	287594.1328
245	287535.8063
246	287477.2767
247	287411.9349
248	287298.157
249	287252.8266
250	287194.8949
251	287131.1632
252	287068.1827
253	287010.1541
254	286949.013
255	286905.6492
256	286829.7854
257	286775.1482
258	286713.093
259	286664.5095
260	286596.3005
261	286563.1057
262	286505.4876
263	286451.8585
264	286383.0582
265	286313.9366
266	286266.5549
267	286221.4012
268	286156.9458
269	286094.2729
270	286025.9748
271	285966.2496
272	285905.3992
273	285851.2127
274	285785.0141
275	285753.0419
276	285687.4678
277	285629.7553
278	285588.9097
279	285533.1382
280	285490.8944
281	285434.8576
282	285360.2456
283	285308.608
284	285269.9898
285	285206.8914
286	285150.3966
287	285079.3621
288	285018.5682
289	284976.2641
290	284928.9082
291	284876.3353
292	284824.9984
293	284765.6533
294	284692.4867
295	284640.1103
296	284594.1976
297	284540.1867
298	284497.7873
299	284458.4785
300	284416.4649
301	284364.7392
302	284323.0738
303	284258.1314
304	284210.5022
305	284150.5579
306	284101.3799
307	284055.5663
308	283998.8633
309	283946.6399
310	283890.8501
311	283864.4255
312	283822.4678
313	283775.204
314	283727.1194
315	283676.0655
316	283629.8644
317	283567.7233
318	283522.2439
319	283458.123
320	283408.5313
321	283363.7123
322	283312.8321
323	283250.4496
324	283202.4659
325	283143.9124
326	283094.4326
327	283046.4192
328	283004.9649
329	282952.0058
330	282909.6644
331	282873.4182
332	282845.7806
333	282806.6167
334	282778.2215
335	282724.6664
336	282685.9027
337	282637.5591
338	282597.6053
339	282564.7179
340	282500.0158
341	282449.6579
342	282404.8235
343	282368.0727
344	282333.6465
345	282302.5396
346	282261.8565
347	282220.5748
348	282182.4681
349	282139.3888
350	282094.344
351	282056.4497
352	282019.6724
353	281982.9895
354	281944.1942
355	281900.3759
356	281860.0032
357	281818.8672
358	281778.9979
359	281746.1937
360	281707.2924
361	281659.7957
362	281626.7923
363	281587.1637
364	281535.6046
365	281508.5683
366	281448.9623
367	281412.6946
368	281363.8844
369	281319.0634
370	281273.3383
371	281232.0401
372	281186.5445
373	281155.3332
374	281118.582
375	281078.9413
376	281041.6758
377	281009.7988
378	280963.8762
379	280938.8401
380	280899.1219
381	280858.0083
382	280824.0401
383	280779.8512
384	280751.3463
385	280718.9609
386	280676.9708
387	280629.3435
388	280590.4262
389	280562.8681
390	280540.1488
391	280505.8721
392	280464.368
393	280429.1773
394	280397.7774
395	280357.1577
396	280297.0024
397	280259.7265
398	280234.339
399	280204.9526
400	280153.7729
401	280126.173
402	280095.2008
403	280059.1447
404	280018.8467
405	279968.0198
406	279936.7887
407	279901.1797
408	279868.3309
409	279831.6665
410	279788.5031
411	279760.7909
412	279716.0318
413	279687.2738
414	279651.6839
415	279591.1357
416	279556.4117
417	279521.7516
418	279496.4485
419	279470.4845
420	279447.5531
421	279414.6632
422	279380.1611
423	279335.4938
424	279300.7854
425	279274.9068
426	279242.4553
427	279197.8008
428	279171.7753
429	279142.3751
430	279119.8716
431	279089.8919
432	279058.5851
433	279024.7768
434	278993.7275
435	278974.8047
436	278938.1681
437	278906.8638
438	278873.8546
439	278846.0098
440	278814.2638
441	278782.2551
442	278748.9572
443	278708.2556
444	278687.3025
445	278655.9993
446	278620.2477
447	278587.1435
448	278562.6163
449	278532.4009
450	278494.0593
451	278466.4884
452	278442.2126
453	278405.0313
454	278375.8673
455	278355.4617
456	278330.8099
457	278309.2239
458	278287.1287
459	278251.7437
460	278227.7479
461	278180.4646
462	278147.4864
463	278102.943
464	278074.5031
465	278033.5781
466	278011.9172
467	277983.5153
468	277963.4545
469	277928.9869
470	277898.4309
471	277860.9365
472	277833.6529
473	277812.1251
474	277783.6365
475	277758.3272
476	277713.5836
477	277682.6999
478	277654.9552
479	277627.5314
480	277606.3735
481	277577.9127
482	277538.7648
483	277521.6738
484	277498.3147
485	277475.6822
486	277454.5789
487	277426.1465
488	277395.8569
489	277372.0517
490	277340.9496
491	277312.1375
492	277287.7803
493	277265.6321
494	277225.3158
495	277188.1569
496	277141.8964
497	277112.1667
498	277066.8683
499	277047.2924
